영화명,리뷰,word
김씨표류기,나를 문열고 뛰쳐나가게 할 희망이 어딘가에 존재할까,뛰다 희망이 존재 
김씨표류기,생각 없이 보다가 펑펑 울게 만드네,펑펑 만드 
김씨표류기,나에게  주는 희망은 무엇인가,희망 
잘 알지도 못하면서,그냥 재미 있긴 한데 구경남이 부상용 집에서 무슨 짓을 해서 쫓겨났는지  두 번 봐도 모르겠어,재미 경남 부상 쫓겨나다 
잘 알지도 못하면서,우리가 잘 안다고 멋대로 판단하는 것의 대부분은 모르는 것,멋대로 판단 
잘 알지도 못하면서,홍상수 영화중에서도 가장 큰 빅재미,홍상수 재미 
잘 알지도 못하면서,보통 사람들의 비열한 내면속을 밖으로 표출해 내놓은 하나도 멋지지 않은 영화,비열하다 내면 내놓다 멋지다 
잘 알지도 못하면서,타인의 삶을 흥미롭게 관찰하는군,흥미롭다 관찰 
할로윈:살인마의 탄생,그냥 흔하게만든 공포영화라 생각했는데 마이클이 자라온 환경에 어떻게 악마가 만들어졌는지 잘표현한 영화같네요,흔하다 공포영화 마이클 자라 환경 악마 만들어지다 
할로윈:살인마의 탄생,재미있었다 We Are Family Team WAF,재미있다 
할로윈:살인마의 탄생,존1나재밋네 7점이하라면 병1신,재밌다 라면 
할로윈:살인마의 탄생,무자비한 살해장면만으로 긴장감 없이 공포물을 완성시키진 못했다,무자비하다 살해 긴장감 공포물 완성 
할로윈:살인마의 탄생,간만에 본 최악의 공포영화 음향으로 놀래키는 최하의 전개에 분개할정도임,최악 공포영화 음향 놀래다 최하 분개하다 
할로윈:살인마의 탄생,전에 나왔던 호러물과 비슷하지만 첨부터 끝까지 긴장의 끈을 놀수 없었던 영화 재밌게 잘봤습니다,호러물 긴장 놀수 재밌다 
할로윈:살인마의 탄생,공포물을 좋아해서 잘 봤고 아이를 사랑으로 잘 키워야겠다는 생각이 든다,공포물 좋아하다 사랑 키우다 
할로윈:살인마의 탄생,루미스 박사의 헌신적인 노력이 참 감동적이었어,박사 헌신 노력 감동 
할로윈:살인마의 탄생,구태의연한 공포속에서 우리가 대처해야할 자세,구태의연하다 공포 대처 자세 
옹박: 더 레전드,옹박형의 멋진 모습을 한번 더 볼 수 있게 되었네요,옹박 멋지다 
옹박: 더 레전드,영화 넘 하다 사무라이 쿵푸 이종격투기 취권 다나온다 내용 좆도없다 긴장감 좃도없다 에혀 시간이 아깝다,사무라이 쿵푸 이종격투기 취권 다나 긴장감 아깝다 
싸이보그 그녀,같은방에서 방구 뿡뿡끼는것보다 저런 사이보그가 더 사랑스러울지도,은방 방구 뿡뿡 사이보그 사랑스럽다 
싸이보그 그녀,진짜로 잼남 터미네이터 보는것같기도 하고 엽기적인그녀 보는것 같고 진짜로 특이한영화강추,잼남 터미네이터 엽기적인그녀 특이하다 강추 
싸이보그 그녀,대충만든 미국판에비해서   아주잼있내요,충만 미국 
싸이보그 그녀,초반의 흥미가 줄곧 유지되는군,흥미 줄곧 유지 
싸이보그 그녀,여주 우익임 그래도 감동,우익 감동 
스타 트렉: 더 비기닝,스타트렉의 성공적인 시작,스타트렉 성공 시작 
스타 트렉: 더 비기닝,오락 영화 공식에 따른 준수한 이행,오락 공식 따르다 이행 
스타 트렉: 더 비기닝,스타워즈 같은 걸 좋아하면 재밌게 볼 수 있는 영화,스타워즈 좋아하다 재밌다 
스타 트렉: 더 비기닝,언제 보아도 즐거운 영화,즐겁다 
스타 트렉: 더 비기닝,완전히 새로운 JJ 감독의 스타트렉 시작,완전하다 새롭다 스타트렉 시작 
나의 판타스틱 데뷔작,유치하지만 끝이 좀 짠하다,유치하다 짠하다 
나의 판타스틱 데뷔작,분명한건 충분하지 않다는것 이지만 그래도 만족스럽다,분명하다 충분하다 만족스럽다 
나의 판타스틱 데뷔작,친구들과 보러가야 겠어요,친구 
나의 판타스틱 데뷔작,혼자 감동을 느끼며 보기 딱좋은영화같아요 진짜 좋았어요,감동 느끼다 딱좋다 좋다 
나의 판타스틱 데뷔작,시사회 갔다 평점 써봐요 간만에 재밋게 웃었어요 감동있구요 그리고 아이들의 의형제 맺는 모습이 가장 인상깊었어요,재밌다 웃다 감동 의형제 깊다 
나의 판타스틱 데뷔작,훈훈한 소재와 재치있는 설정들이 무리없이 어우러짐,훈훈하다 재치 무리 어우러지다 
나의 판타스틱 데뷔작,녀석들의 나름 진지한 영화찍기가 어른들을 웃기고 울린다,진지하다 찍기 어른 웃기 
나의 판타스틱 데뷔작,재미와 감동 그 자체 이건 애들영화가 아니다,재미 감동 
나의 판타스틱 데뷔작,감동과 증말 귀여운 아이들,감동 증말 귀엽다 
"사랑을 부르는, 파리",파리 사람들의 사람 사는 냄새,파리 냄새 
"사랑을 부르는, 파리",나오는 배우 이미지가 딱 파리 그자체네요,이미지 파리 
박쥐,2008년에 나온 써티데이즈오브나이트랑 비슬허내,데이즈 나이트 비슬허내 
박쥐,사랑을 위해 질주하는 파멸,사랑 질주 파멸 
박쥐,상을 노리며 습관적으로 엽기적 컨셉가는 듯,노리 습관 엽기 
박쥐,뭔가 밥맛 떨어지는 영화,밥맛 떨어지다 
박쥐,끔찍했던  몇몇 장면만 기억에 남는다,끔찍하다 기억 
엑스맨 탄생: 울버린,액션도 최고고 시나리오가 제대로군,액션 최고 제대 
엑스맨 탄생: 울버린,휴잭맨때문에  무조건 10점,휴잭맨 
엑스맨 탄생: 울버린,매력적인 캐릭터와 매력 없는 이야기,매력 매력 
엑스맨 탄생: 울버린,시리즈 중에서 가장 재미있었고 그나마 제작 가치가 있던 작품,시리즈 재미있다 가치 
엑스맨 탄생: 울버린,개인사인만큼 오락성을 줄였더라면,개인 사인 오락 줄이다 
엑스맨 탄생: 울버린,성공적인 엑스맨 울버린 단독 시리즈 시작,성공 엑스맨 울버린 시리즈 시작 
엑스맨 탄생: 울버린,울버린과 마블팬이아니라면 위험한영화,울버린 마블 위험하다 
엑스맨 탄생: 울버린,재미없었다 We Are Family Team WAF,재미없다 
스테이트 오브 플레이,스토리가 탄탄한 미스터리물,스토리 탄탄하다 미스터리물 
스테이트 오브 플레이,재미있었다 We Are Family Team WAF,재미있다 
스테이트 오브 플레이,여의도에 계신  것들과   언론사 기자라는  것들  보고 느껴라 본질과 진실에 대해서,여의도 언론사 기자 느끼다 본질 진실 
스테이트 오브 플레이,벤어플렉이 맡은 역활중 제일 찌질한듯 겉도는 연기러셀크로의 나지막한 목소리는 긴박한 기자를보여주기엔 너무 느긋함이 묻어난다,베다 찌질하다 겉도 러셀 나지막하다 목소리 긴박하다 기자 느긋하다 
스테이트 오브 플레이,기대에 비해 다소 약한 반전,기대 약하다 반전 
스테이트 오브 플레이,깔끔한 전개가 몰입도를 높이는군,깔끔하다 몰입도 높이다 
스테이트 오브 플레이,단언컨데 최근에 이렇게 잼있는 스릴러는 없었음,컨데 스릴러 
리틀 비버,유재석씨 저 괴롭히지마세요 누구랑 짜고 하는거든 여러사람이 짜고 하는거같은데 그러지말아주세요 힘듭니다,유재석 괴롭히다 
리틀 비버,더빙이 없이 나레이션만 있었으면 더 좋았을 것 같다,더빙 나레이션 좋다 
리틀 비버,그래 차라리 동물의 왕국을 봐라,동물 왕국 
패밀리가 간다,결말을 너무 서둘러 마무리한 느낌이드네요,결말 서두르다 이드 
패밀리가 간다,사랑스럽고 유머스럽게 풀어 낸 영화,사랑스럽다 유머 풀다 
인사동 스캔들,몸 어딘가 이상이 생긴 술에 찌든 재야의 고수를 찾아 일발 역전하는 뻔한 스토리라인,생기다 찌들다 재야 고수 역전 뻔하다 스토리 라인 
인사동 스캔들,완성품이 되지 못한 복제품,완성 제품 
인사동 스캔들,아주 맛있고 때깔좋은 시나리오,맛있다 때깔 좋다 
몬스터 vs 에이리언,미국식 더러움과 개그 그러저럭 볼만,미국 개그 
몬스터 vs 에이리언,남은것은 금문교에서 전투장면,금문교 전투 
몬스터 vs 에이리언,많이 부족하지만 아이들이 보기에는 좋을듯,부족하다 좋다 
몬스터 vs 에이리언,스토리 캐안습 유치 찬란,스토리 안습 유치 찬란 
제독의 연인,요즘 러시아에선 이런 영화가 인기를 끄는구나,러시아 인기 
제독의 연인,멜로보다는 시대극에 더 비중을 둔 드라마,멜로 시대극 비중 
제독의 연인,우리 정서랑은 조금은 맞지 않는거 같지만 신선했음,정서 신선하다 
"지금, 이대로가 좋아요",영화관에 나오는 영화보다 재밌었어요 작품성이 좋은영화 입니다,재밌다 좋다 
"지금, 이대로가 좋아요",잔잔하고 담담하고 위태롭게 그리고 마지막에 빵,잔잔하다 담담하다 위태롭 마지막 
"지금, 이대로가 좋아요",신민아가 아닌 신민아가 하는 연기,신민아 신민아 
"지금, 이대로가 좋아요",그냥 잔잔하지만 현실적이지 못한 느낌도 있네요,잔잔하다 현실 
"지금, 이대로가 좋아요",우리나라답지않은 신선한 소재,우리나라 신선하다 
7급 공무원,가벼운 웃음거리로 좋은 영화,가볍다 웃음 좋다 
7급 공무원,내용이 신선하고 웃는 재미가 있음,신선하다 웃다 재미 
7급 공무원,저예산 미스터 미세스 스미스,미스터 미세 스미스 
7급 공무원,유치하게 조금 웃기고 시간 아까움,유치하다 웃기 아깝다 
7급 공무원,다 그저그런거같은데 진짜 웃긴다,웃기다 
노잉,SF를 가장한 개독영화 졸라 유치하고 토쏠림,개독 졸라 유치하다 쏠리다 
노잉,평점 조절 차원 재밌다 8점이상은 된다,차원 재밌다 이상은 
노잉,콘택트와 노잉은 꼭 봐야할 감동SF명작,콘택트 노잉 야하다 감동 명작 
노잉,초반의 긴장감이 종교적 의미의 끝마무리로 마감,긴장감 종교 마감 
노잉,흥미로운 영화였음나는 종교와 상관없이 봤는데,흥미롭다 종교 상관없다 
노잉,재미있었다 We Are Family Team WAF,재미있다 
13구역: 얼티메이텀,클라이막스만 제외하면 할리우드가 배워야할 점이 한 두가지가 아니다,제외 할리우드 배우다 야하다 
13구역: 얼티메이텀,낮선 얼굴에 낮선액션 신선하네요,낮선 낮선 액션 신선하다 
13구역: 얼티메이텀,화려한 액션이 부족한 스토리를 커버해준다,화려하다 액션 부족하다 스토리 
13구역: 얼티메이텀,스토리가 약간 부족할뿐 다른면에선 전부 십점,스토리 부족하다 
13구역: 얼티메이텀,즐기려고 보는 사람에겐 추천할만한 영화라고 생각함,즐기다 추천 
13구역: 얼티메이텀,좀 괜찮은극장에서 봤으면 더 재밌었을건데 좀 아쉽네,괜찮다 재밌다 아쉽다 
똥파리,사실을 드러내면 사람들 대부분은 무지하게 불편해 하지,드러내다 무지하다 불편하다 
똥파리,지우지 못할 폭력이라는 이름,지우다 폭력 
똥파리,재밌어요 굿굿 배우분들 연기도 굿굿,재밌다 굿굿 굿굿 
똥파리,심리학책 한권을 읽는 것 보다 이 영화 한편을 보기를 추천함,심리학 추천 
똥파리,쉽게 접할순 없어도 분명 존재하는 우리 사회의 다른면,존재 사회 
엽문,자경 누님  아직 살아 있네,자경 누님 
엽문,엽문의 tv시리즈같은 느낌,엽문 시리즈 
엽문,토니 쟈의 자존감을 배제한 캐릭터로 영춘권이 안나오는 사골영화에  감초역할이 전부다,자존감 배제 영춘권 사골 감초 
엽문,엽문 최후의 대결 이후 외전 이네요,엽문 최후 대결 외전 
더블 스파이,스파이 영화치곤 괜찮음 지루하지 않고 재밌음 볼꺼 없는데 그 중 더블 스파이가 있으면 이거 보라고 추천,스파이 괜찮다 지루하다 재밌다 더블 스파이 추천 
더블 스파이,복잡하기만 하지 흥미는 없어요,복잡하다 흥미 
더블 스파이,따라 놓은 지 12시간은 더 된 맥주 마시는 느낌,따르다 맥주 마시다 
더블 스파이,감독의 전작에 비하면 좀 지루하고 긴장감 떨어지는 영화,지루하다 긴장감 떨어지다 
매란방,패왕별희는 잊으시고 매란방의 삶을 위주로 감상하신다면 나름 감동이 있는 영화였습니다,패왕별희 잊다 위주 감동 
내 남자의 아내도 좋아,본 감독의 영화 중 가장 좋아하는 영화 아름다운 바르셀로나와 자유로운 삶에 관하여,좋아하다 아름답다 바르셀로나 자유롭다 
내 남자의 아내도 좋아,이런게 영화고 이런게 예술이다,예술 
내 남자의 아내도 좋아,우디앨런만이 펼칠수 있는 유려한 자유연애담,우디앨런 펼치다 유려 자유 연애담 
내 남자의 아내도 좋아,비키 크리스티나 바르셀로나,비키 크리스티나 바르셀로나 
내 남자의 아내도 좋아,지루할듯 시작해서 할말없게 만드는것 같네요,지루하다 시작 
내 남자의 아내도 좋아,새롭다 좋다 남자가 약간 싫어진다  질척거려,새롭다 좋다 남자 싫어지다 거려 
내 남자의 아내도 좋아,이런 사랑도 있구나 그냥 사랑패턴이야기,사랑 사랑 패턴 
내 남자의 아내도 좋아,소재도 독특하고 재미있을 듯 싶네요,독특하다 재미있다 
내 남자의 아내도 좋아,나모르게 미소짓게 만드는 바르셀로나,미소 짓다 바르셀로나 
내 남자의 아내도 좋아,제목 번역 그지같네 진짜 영화,번역 거지같다 
우리 집에 왜 왔니,아쉽지만 신선한 각본과 연출이였음 세세한 내용도 괜찮구,아쉽다 신선하다 세다 괜찮다 
우리 집에 왜 왔니,생각을 해보게 하는 영화 괜찮은 영화인것 같다,괜찮다 
우리 집에 왜 왔니,독창적이고 기이한 러브스토리가 몰입도높게 전개되는군,독창 기이하다 러브스토리 몰입도 
우리 집에 왜 왔니,내가 좋아하는 사람이 날 좋아하게 되는 건 기적이다,좋아하다 좋아하다 기적 
우리 집에 왜 왔니,승리가나와서봤는데괜찮은것같다,승리 괜찮다 
용의자 X의 헌신,천재수학자의 논증 불가 사랑법,천재 수학자 논증 불가 사랑 
용의자 X의 헌신,왕카이배우와 장로일배우의 심리묘사와 표정연기가 일품입니다,카이 장로 심리 묘사 표정 일품 
미쓰 루시힐,예고편에서 다보여줘서 딱히 새로운 내용이 없다,딱하다 새롭다 
미쓰 루시힐,중간에 1분 빵터진걸 제외하곤 별로,빵터지다 제외 별로 
안나와 알렉스 : 두자매 이야기,재밌게봤습니다 중간중간 뭐가 튀어나올거같고 어떻게될거같고 해서 무서웠어요,재밌다 튀어나오다 무섭다 
안나와 알렉스 : 두자매 이야기,원작과의 유사성이 거의 없는 단순한 미국판 심리 스릴러쯤,유사성 단순하다 미국 심리 스릴러 
안나와 알렉스 : 두자매 이야기,약간에 지루한 감이 아쉽군요,지루하다 아쉽다 
그림자 살인,조선명탐정의 프로토타입이 아닌가 싶다 여기에 살인의 추억을 좀 버무리고,조선 명탐정 프로토타입 살인 추억 버무리 
그림자 살인,수사과정이 너무 단조롭지 않았나,단조롭다 
그림자 살인,추리보다는 액션과 코메디로 미는게 더 좋았을 것같다는 아쉬움이 있다,추리 액션 코메디 밉다 좋다 아쉬움 
그림자 살인,밑에 님 이남자는 황정민입니다 황정음은 여자입니다,남자 황정민 황정음 여자 
그림자 살인,참나 진짜 드럽게 잼없네,드럽다 
분노의 질주: 더 오리지널,폴 워커와 빈 디젤의 본격적인 케미 시작,워커 케미 시작 
분노의 질주: 더 오리지널,분노의질주만의 고유한 재미가 녹아있는 영화,분노의질주 고유 재미 녹다 
신부들의 전쟁,미국여자들의 우정을 코믹하게 그려냄,미국 여자 우정 코믹 그리다 
신부들의 전쟁,와 잘만들었다 특히 감정이나 뭐 여러가지 여튼 재밌음,감정 재밌다 
신부들의 전쟁,Anne Hathaway와 Kate Hudson로도 채워지지않는 어이상실 스토리,채우다 상실 스토리 
신부들의 전쟁,그냥 뭐 나쁘지 않았던 영화,나쁘다 
신부들의 전쟁,여자들이 공감할수 있는 영화,여자 공감 
신부들의 전쟁,특이한 소재의 재미있는 영화같네요,특이하다 재미있다 
더 리더: 책 읽어주는 남자,또 봐도 새롭고 아름답네요,아름답다 
더 리더: 책 읽어주는 남자,옛날에 봤는데 깊은 울림이 있는 영화다,옛날 깊다 울림 
더 리더: 책 읽어주는 남자,가슴리 저리고 미어지는 최고의 사랑이야기,밉다 최고 사랑 
더 리더: 책 읽어주는 남자,남녀간 감성과 이성의 충돌,감성 이성 충돌 
더 리더: 책 읽어주는 남자,영화가 끝나고도 계속 눈물이 터져나왔다,끝나다 눈물 터지다 
더 리더: 책 읽어주는 남자,여자의 애절한 서글픔과 남자의 갑갑한 애정은 영화가 끝난후 나에게 짙은 먹먹함을 남겼다,여자 애절하다 서글프다 남자 갑갑하다 애정 난후 짙다 남기다 
더 리더: 책 읽어주는 남자,최고의 영화 중 한편이 아닐까,최고 
쇼퍼홀릭,쇼핑에 빠져살아 카드빚이 어마어마한 여주가 한순간에 정신차리면 모든걸 얻게되는 웃긴 영화,쇼핑 빠지다 카드 어마어마하다 한순간 정신차리다 웃기다 
쇼퍼홀릭,남주여주 다 뭔가 모자르다,자르다 
쇼퍼홀릭,일부러 매번 촌스럽게 입히는건가 전개가 설득력 없네,입히다 설득 
쇼퍼홀릭,스토리는 뻔한 로맨틱코미디이지만 여주의 화려한 쇼핑세계가 여심을 흔드는 영화,스토리 뻔하다 로맨틱코미디 화려하다 쇼핑 세계 여심 흔들다 
쇼퍼홀릭,여주보다 친구 크리스틴 리터가 너무 이뻤음,친구 크리스틴 리터 이쁘다 
쇼퍼홀릭,진짜 10점 만점에 5점,만점 
쇼퍼홀릭,시간 때우러 괜히 봤다싶은 별 감동없는 영화,감동 
기프트,영화보고는 기분은 더럽다,기분 더럽다 
기프트,도태남들이 강자들에겐 못개기고 여자들 공격하는 현상을 잘 보여준 수작,도태 강자 여자 공격 수작 
기프트,한국에서도 일어날 수 있는 일 결말이 너무 척하게 끝나서 맥빠짐,한국 일어나다 결말 끝나다 맥빠지다 
기프트,팽팽한 긴장감 속에 뒤바뀌는 그들의 심리적 우위 관계,팽팽 긴장감 바뀌다 심리 우위 관계 
기프트,범죄의 원류가 되는 범죄,범죄 원류 범죄 
기프트,조엘 에저튼의 분위기가 다 살렸다 불안정하고 음습하고 미스테리한 모습들이 긴장감을 주었지만 너무 잔잔해서 심심한 편이다,분위기 살리다 불안정하다 음습 미스테리 긴장감 잔잔하다 심심하다 
기프트,모든사람에게 선의를 베풀순 없지만 악연을 만들지는 말았으면,선의 베풀다 악연 
기프트,확인할수 없는 거짓과  확인할수없는 진실,확인 거짓 확인 진실 
기프트,심리묘사로 극을 꾸려가야하지만 메인을 찾지못해 이리저리 방황만,심리 묘사 꾸리다 메인 방황 
기프트,탄탄하게 짜여진 복수극이 흥미진진하군,탄탄하다 복수 흥미진진 
번 애프터 리딩,정리가 안되면 불태워주세요,정리 안되다 태우다 
번 애프터 리딩,무엇보다 배우들의 연기가 정말 좋다 마치 초기작의 코엔 영화를 보는듯한 기분,좋다 기분 
번 애프터 리딩,불륜으로 얼룩진 황당한 첩보 놀이물,불륜 얼룩지다 황당하다 첩보 놀이 
번 애프터 리딩,오두방정과 총성의 믹스매치,방정 총성 믹스 매치 
번 애프터 리딩,코엔형제 특유의 감각이 살아있는 코미디 스릴러,형제 특유 감각 코미디 스릴러 
번 애프터 리딩,약간 우습기도 하지만 물고 물리는 장면이 긴장감도 있네요,울다 기도 물리다 긴장감 
번 애프터 리딩,지름길 놔두고 굳이 먼 길을 돌아가는 그들,지름길 놔두다 돌아가다 
번 애프터 리딩,코미디 영화라 해서 배꼽잡고 웃을 수 있는 것이 아닌 조소가 나오는 영화,코미디 배꼽 조소 
번 애프터 리딩,감독의 네임밸류 최고 배우들의 연기향연 도대체 뭐가 부족한가 허세 가득한 미국인에 대한 풍자 이보다 더 위트있으리오,임밸류 최고 부족하다 허세 가득하다 미국인 풍자 위트 
번 애프터 리딩,웃음포인트를 못 찾을 수 있음,웃음 포인트 
여름의 조각들,상업적인면을 완전히 배제한 영화 어머니에 유산을 정리하는중,상업 완전하다 배제 어머니 유산 정리 
슬럼독 밀리어네어,인생이 걸린 대역전 퀴즈쇼,인생 역전 퀴즈쇼 
슬럼독 밀리어네어,볼수록 가슴에 와닿는 인생영화,닿다 인생 
슬럼독 밀리어네어,지나치게  극적인게 조금  거슬리네요,지나치다 극적 거슬리다 
슬럼독 밀리어네어,형식은 영화인데 실상은 인도 처참한 현실을 고발 하는 다큐멘터리다,형식 인도 처참하다 현실 고발 다큐멘터리 
슬럼독 밀리어네어,보는 내내 감독이 거슬리다,거슬리다 
슬럼독 밀리어네어,요즘 보기드문 사필귀정의 정통 인생드라마다,드물다 사필귀정 정통 인생 
슬럼독 밀리어네어,일확천금으로 쓰는 인도 현대사와 더 넓혀서 지구의 현대사,일확천금 쓰다 인도 넓히다 지구 
슬럼독 밀리어네어,다각면에서 조화롭고 감흥적인 밀리어네어 영화,다각 
슬럼독 밀리어네어,인도판 동화 같은 이야기지만 인도의 비애와 그림자를 엿 볼 수 있는 영화,인도판 동화 인도 비애 그림자 
슬럼독 밀리어네어,과거를 향한 회상 그리고 성공을 위한 미래,과거 회상 성공 미래 
슬럼독 밀리어네어,필감할만한 몰입도높은 스릴러,필감 몰입도 스릴러 
슬럼독 밀리어네어,처음 시작부터 마지막까지 정말 좋았음,시작 마지막 좋다 
슬럼독 밀리어네어,이영화는 거품인줄알고 안봤었는데 보고난뒤에는 보길잘했다는 생각이 들었다 인도영화라는 편견이 있었기때문,거품 인도영화 편견 
푸시,8점 짜리 영화인데 평점이 좀 낮게 책정되어 있어서 10점 줌 괜찮음,낮다 책정 괜찮다 
푸시,시작까진좋다 구슬이 굴러갈떄 까지는 뭔가 있는듯한 느낌을받았다 보면서 끝날떄까지 욕을했다 1점도 줄수없다,시작 좋다 구슬 굴러가다 
푸시,진짜 졸라 재미없다 유치하다,졸라 재미없다 유치하다 
푸시,다코다패닝때문에 0점줄꺼 별한개 드림,다코다 패닝 드림 
실종,임팩트가 있어 보이는데 스토리가 괜찮아 보이네요,임팩트 스토리 괜찮다 
그랜 토리노,인생영화중 하나로 뽑을만함,인생 뽑다 
그랜 토리노,영화 끝날때 정말 펑펑 울었습니다,끝나다 펑펑 울다 
그랜 토리노,이스트 옹 신작을 보고 싶소,이스트 신작 
그랜 토리노,아무리 낡아도 지켜야 할 것이 있다,낡다 지키다 
그랜 토리노,클린트 이스트우드의 후기 걸작을 꼽을 때 반드시 언급될 영화,클린트 이스트 우드 걸작 언급 
도쿄 소나타,누구든지 고민은 하나씩 가지고 있다,고민 
도쿄 소나타,재밌긴 한데 끝이 좀 이상함,재밌다 이상하다 
할매꽃,어두운 역사의 그늘에서 그 짐을 지고 살아가셨던 할머니의 아픔과 가족사를 돌아보면서 숭고해지는 시간,역사 그늘 지고 살아가다 할머니 아픔 가족사 돌아보다 숭고하다 
드래곤볼 에볼루션,성동일이 나오는 줄은 몰랐네,성동일 
드래곤볼 에볼루션,리메이크의 잘못된 좋은예,리메이크 좋다 
드래곤볼 에볼루션,5년전 비행기안에서 봤는데 뭐 그리 나쁘지 않음,비행 기안 그리다 나쁘다 
드래곤볼 에볼루션,스트리트파이터와 통키를 우리나라에서 영화한것과 같은 효과를 지닌 영화,스트리트파이터 통키 우리나라 
드래곤볼 에볼루션,잘봤어요 쭌형님 자랑스럽습니다,형님 자랑스럽다 
드래곤볼 에볼루션,아 영화제목보고 떠오름 이걸보고나서의 그 분노감 자받아라 0점,떠오르다 분노 
드래곤볼 에볼루션,극장에서 본 영화중에 가장 돈이 아까운영화엿음,아깝다 
드래곤볼 에볼루션,평점 2점대를 향해 고고싱,고고싱 
드래곤볼 에볼루션,용가리를 재미있게 만들어주는 영화,용가리 재미있다 
드래곤볼 에볼루션,별에별 쓰레기영화를 다본다,쓰레기 
드래곤볼 에볼루션,한마디로 말해서 개같다 갑자기 화가 치밀른다,화가 밀른 
드래곤볼 에볼루션,내가 왜봤지 정말 드럽더라,드럽다 
뉴욕은 언제나 사랑 중,뻔한데 남주들이 매력적이어서,뻔하다 매력 
뉴욕은 언제나 사랑 중,뻔한 로맨스를 억지로 엮어만든 어설픈 이야기,뻔하다 로맨스 억지로 어설프다 
뉴욕은 언제나 사랑 중,영화는 스토리도 감동도 재미도 없었지만 콜린은 멋지다,스토리 감동 재미 콜린 멋지다 
뉴욕은 언제나 사랑 중,첨에는 별로 였지만 갈수록 마음에 와닿았어요,별로 마음 닿다 
뉴욕은 언제나 사랑 중,유머러스하고 감동도 있고 정말 재밌었어요,유머러스하다 감동 재밌다 
뉴욕은 언제나 사랑 중,화이트데이에 볼만한 영화 맞을 것 같네요,화이트데이 
뉴욕은 언제나 사랑 중,로맨틱 코미디 재밌을 것 같당,로맨틱 코미디 재밌다 
13일의 금요일,6년동안 달리기 연습 했나보네,달리기 연습 
13일의 금요일,나의 최고의 슬래셔 공포영하고 나에게 첫 슬래셔를 보여준 최고의 공포영화 나의 캐릭터 제이슨부히스,최고 슬래셔 공포 영하 슬래셔 최고 공포영화 제이슨 히스 
13일의 금요일,재미있었다 We Are Family Team WAF,재미있다 
13일의 금요일,오랜만에 추억의 제이슨을 다시 본다는 것에 의의를 두고 보는편이 나을듯,추억 제이슨 의의 
13일의 금요일,진짜별로임 절대보지마셈 깜짝놀래키고 좀 잔인한거빼고는 이유없이 걍죽는것만 쭉나옴,별로 깜짝 놀래다 잔인하다 죽다 
숏버스,아 야하다 이런 영화를 자유롭게 심미할 수 있다니 세상 좋아졌다,야하다 자유롭다 밉다 세상 좋아지다 
숏버스,인간 사이의 의사 소통의 오르가즘을 느껴라,인간 의사 소통 오르가즘 느끼다 
숏버스,하도 말이 많길래 궁금하다,궁금하다 
보이 걸 씽,그 뻔한 전개 중에서 꽤 재밌다,뻔하다 재밌다 
보이 걸 씽,중넌남성인데 너무감성에 젖에 보았어요단순히 즐거운 하이틴영화가아닌남녀사이의 애틋한진정한 사랑을 보여줌,남성 감성 단순하다 즐겁다 하이 애틋하다 진정하다 사랑 
스트레인저: 무황인담,좀 잔인했지만 칼싸움이 아주 화려했다,잔인하다 싸움 화려하다 
스트레인저: 무황인담,오랜만에 본 제대로된 사무라이 액션 애니,사무라이 액션 애니 
스트레인저: 무황인담,짜임새 있는 이야기와 더불어 실사영화에서 접하기 어려운 화려한 액션을 구현해낸 연출이 일품이군,짜임새 더불다 실사영화 어렵다 화려하다 액션 구현 해내다 일품 
스트레인저: 무황인담,정말 재밌음 막판 나나시 진검 뽑을 때 눈물이 쫙한국영화는 애니에 더 투자해라 배우들 인건비만 올리지말고,재밌다 막판 진검 뽑다 눈물 애니 인건비 
스트레인저: 무황인담,일본 무협 시대극 애니메이션에 대한 갈증이 이제야 조금 풀렸다,일본 무협 시대극 애니메이션 갈증 풀리다 
스트레인저: 무황인담,무사 쥬베이와 맞먹는 최고의 검객영화,무사 맞먹다 최고 검객 
스트레인저: 무황인담,모든사람이 배신하는 가운데 서로를 돕는 이들이라서 스트레인저가 아닐까,배신 돕다 스트레인저 
스트레인저: 무황인담,조금 잔인하지만 볼만하군요,잔인하다 
그녀들의 방,정제된 공기 안에 상처 없는 영혼이 어디 있으랴,정제 공기 상처 영혼 
슬픔보다 더 슬픈 이야기,슬픔보다 더 슬픈 이야기,슬픔 슬프다 
슬픔보다 더 슬픈 이야기,슬프지만 사랑하는 이를  위해 최선의 선택을 했던 그들 이승철씨의 노래와 절묘하게 맞아 떨어졌다,슬프다 사랑 이르다 최선 선택 이승철 노래 절묘하다 떨어지다 
슬픔보다 더 슬픈 이야기,참 좋은 각본을 신인  감독의 오만함이 망쳐버림,좋다 신인 오만하다 망치다 버리다 
슬픔보다 더 슬픈 이야기,슬프고 사랑 하는이에 대해  다시  생각하게 되네요,슬프다 사랑 
슬픔보다 더 슬픈 이야기,이보영이 연기 잘해서 그나마 7점,이보영 
슬픔보다 더 슬픈 이야기,여러모로 경험이 미성숙한 beginner의 습작,경험 밉다 성숙하다 습작 
슬픔보다 더 슬픈 이야기,OST하고 아주 잘 어울리는 영화입니다,어울리다 
슬픔보다 더 슬픈 이야기,너무 슬프네요 이제서야 본걸 후회하고있습니다,슬프다 후회 
